Course Title,Provider,Academic Year,Subjects,Study Options,Duration,Location
Business Management,University of Derby,2024,"Management, Strategic management, Leadership, Management services, Business studies, Human resource management, Supply chain management, Logistics, Business information technology, Marketing, Entrepreneurial studies, Business administration, Business and management, Business consultancy, Business computing, Business economics, Finance",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Kedleston Road, None, Derby, DE22 1GB, Unknown"
Education,University of the West of Scotland,2024,Educational studies,Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Ayr Campus, University Avenue, None, Ayr, KA8 0SX, Unknown"
Finance,University of Manchester,2024,Finance,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University Recruitment And Adm, , Manchester, M13 9PL, Unknown"
Adult Nursing,Buckinghamshire New University,2024,"Nursing (adult), Nursing",Full-time,"{'quantity': 2, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Uxbridge Campus, 106 Oxford Road, , Uxbridge, UB8 1NA, Unknown"
Energy Engineering,Newcastle College University Centre,2024,"Renewable energy, Energy engineering, Offshore engineering",Full-time,"{'quantity': 2, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Rye Hill Campus, , Newcastle upon Tyne, NE4 7SA, Unknown"
Marine Biology (Including Placement Year),University of Essex,2024,Marine biology,Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Colchester Campus, University of Essex, , Colchester, CO4 3SQ, Unknown"
English Literature,Anglia Ruskin University,2024,English literature,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Cambridge Campus, East Road, , Cambridge, CB1 1PT, Unknown"
English Literature,University of Essex,2024,"English literature, English",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Colchester Campus, University of Essex, , Colchester, CO4 3SQ, Unknown"
Celtic Studies/Psychology,University of Glasgow,2024,"Celtic studies, Psychology, Area studies, Languages, Literature, European studies, Anglo-Irish studies, Anglo-Welsh studies, British studies, Irish studies, Scottish studies, Welsh studies, Gaelic studies, Language, Medieval languages, Modern languages, European languages, Welsh, Gaelic, Applied psychology, Behavioural psychology, Child psychology, Developmental psychology, Environmental psychology, Human psychology, Psychological counselling, Psychopathology, Psychotherapy, Educational psychology",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Gilmorehill (Main) Campus, University Of Glasgow, , Glasgow, G12 8QQ, Unknown"
Business and Environment,University of Exeter,2024,"Business studies, Environment",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University of Exeter - Penryn Campus, Cornwall, Penryn Campus, , Cornwall, TR10 9FE, Unknown"
International Relations,Queen Mary University of London,2024,"Political theory, Politics, Comparative politics, International relations, International security, Latin-American studies, Middle Eastern politics, European politics, African studies, International law, Political economy, Policy studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Mile End Road, None, London, E1 4NS, Unknown"
Neuroscience,"King's College London, University of London",2024,"Neurobiology, Molecular biology, Physiology, Pharmacology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Strand, None, London, WC2R 2LS, Unknown"
International Business,"Teesside University, Middlesbrough",2024,"Business consultancy, Business studies, Commerce, e-business, Finance, Human resource management, International business studies, Leadership, Management, Market research, Marketing, Social enterprise, Strategic management",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Teesside University London Campus, Here East, 14 East Bay Lane, London, E15 2GW, Unknown"
Accounting,University of the Highlands and Islands (UHI),2024,"Accounting, Administrative accounting, Business studies, Bookkeeping, Computerised accounting, Computerised accounting software, Cost accounting, Management accounting, Financial services, Finance, Business law",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Inverness, UHI Inverness, , Inverness, IV2 5NA, Unknown"
Occupational Therapy,York St John University,2024,Occupational therapy,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","York St John University, Lord Mayor's Walk, , York, YO31 7EX, Unknown"
Psychology,University of Glasgow,2024,"Health studies, Psychology, Applied psychology, Forensic psychology, Behavioural psychology, Graphology, Child psychology, Educational psychology, Clinical psychology, Cognition, Developmental psychology, Environmental psychology, Experimental psychology, Human psychology, Occupational psychology, Organisational behaviour, Psychological counselling, Psychopathology, Psychotherapy, Social psychology, Sports psychology",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Gilmorehill (Main) Campus, University Of Glasgow, , Glasgow, G12 8QQ, Unknown"
Food Science and Nutrition with Professional Studies,Queen's University Belfast,2024,"Food, Food studies, Nutrition, Food hygiene",Sandwich,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University Road, None, Belfast, BT7 1NN, Unknown"
Veterinary Science (Royal Veterinary College - RVC),Aberystwyth University,2024,"Veterinary medicine, Agriculture, horticulture and veterinary studies",Full-time,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site (Aberystwyth), Penglais Campus, , Aberystwyth, SY23 3DD, Unknown"
Physics,University of Lincoln,2024,Physics,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Lincoln (Main Site), Brayford Pool, , Lincoln, LN6 7TS, Unknown"
Medicine (MBBS),"St George's, University of London",2024,"Medicine (general and para-medical), Complementary medicine, Medicine and surgery, Preventive medicine, Regenerative medicine, Supplementary medicine, Tropical medicine, Medicine and health studies",Full-time,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","St George's, University Of London, Cranmer Terrace, , London, SW17 0RE, Unknown"
Wildlife and Conservation (Top-up),Activate Learning,2024,"Environmental conservation, Wildlife management",Part-time,"{'quantity': 2, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Merrist Wood College, Holly Lane, None, Guildford, GU3 3PE, Unknown"
Criminology,University of Bath,2024,"Criminology, Social sciences, Sociology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Claverton Down, , Bath, BA2 7AY, Unknown"
Electrical and Electronic Engineering,De Montfort University,2024,"Electrical engineering, Electronic engineering",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Leicester Campus, The Gateway, , Leicester, LE1 9BH, Unknown"
Musical Theatre,York St John University,2024,Musical theatre,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","York St John University, Lord Mayor's Walk, , York, YO31 7EX, Unknown"
"Communications, Media and Marketing","St Mary's University, Twickenham",2024,"Marketing, Communication studies, Media studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, St Mary's University, None, Twickenham, TW1 4SX, Unknown"
Chemical Engineering,University of Hull,2024,"Chemical engineering, Chemistry, Engineering, Chemical process engineering, Biochemistry",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","The University of Hull, Cottingham Road, None, Hull, HU6 7RX, Unknown"
Education and Information Technology,Liverpool Hope University,2024,"Information technology, Educational studies, Critical thinking, Disability studies, Educational assessment, Educational counselling, Educational philosophy, Educational sociology, Educational welfare, Learning, Learning disability studies, Learning support, Research methods, Special educational needs coordination, Special needs, Computer communication, Computer networks, Computer programming, Computer science, Computer systems engineering, Computers, Engineering technology, Web design, Software, Software engineering, Informatics, Information systems, General primary (primary teaching), Education",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Hope Park, Hope Park, None, Liverpool, L16 9JD, Unknown"
Psychology,Cardiff Metropolitan University,2024,"Psychology, Applied psychology, Forensic psychology, Behavioural psychology, Child psychology, Educational psychology, Clinical psychology, Cognition, Developmental psychology, Environmental psychology, Experimental psychology, Human psychology, Occupational psychology, Psychological counselling, Psychotherapy, Social psychology, Sports psychology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Cardiff Met - Llandaff, Cardiff Metropolitan University, , Cardiff, CF5 2YB, Unknown"
English Literature,University of Hertfordshire,2024,English literature,Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University Admissions Service, , Hatfield, AL10 9AB, Unknown"
Biology,University of Nottingham,2024,Biology,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University Park Campus, University Park, None, Nottingham, NG7 2RD, Unknown"
Cert HE Music Business,LCCM,2024,"Music Industry, Music, Music management, Creative studies, Entertainment management, Events management, Business and management",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","The Music Box, 241 Union Street, None, London, SE1 0LR, Unknown"
Electrical Engineering,University of Nottingham,2024,"Electrical engineering, Engineering",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University Park Campus, University Park, None, Nottingham, NG7 2RD, Unknown"
Engineering (General Engineering),"South Thames College Group (inc Carshalton, South Thames and Kingston College)",2024,"Engineering and production, Engineering, Engineering systems, Engineering technology, Engineering technician studies, Extended engineering, Fire engineering, Fluid engineering, Foundation engineering, Gas engineering, Industrial design engineering, Instrumentation engineering, Mathematical engineering",Part-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Kingston College, Kingston Hall Road, None, Kingston upon Thames, KT2 5AQ, Unknown"
Psychology,Blackburn College,2024,Psychology,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Feilden Street, None, Blackburn, BB2 1LH, Unknown"
Psychology,University of Chichester,2024,"Psychology, Applied psychology, Behavioural psychology, Social psychology, Forensic psychology, Developmental psychology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Bishop Otter Campus, Chichester, Bishop Otter Campus, , Chichester, PO19 6PE, Unknown"
Economics,Keele University,2024,"Business economics, Management economics, Industrial economics, Econometrics, Statistical economics, Economic development, International economics, Economics, Monetary economics, Business and management, Business studies, Finance",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Keele University, None, Keele, ST5 5BG, Unknown"
Accounting,Bournemouth University,2024,"Accounting, Finance",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Talbot Campus, , Poole, BH12 5BB, Unknown"
English Literature,Oxford Brookes University,2024,English literature,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Gipsy Lane, None, Oxford, OX3 0BP, Unknown"
Statistics,University of Glasgow,2024,Statistics,Full-time,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Gilmorehill (Main) Campus, University Of Glasgow, , Glasgow, G12 8QQ, Unknown"
Anthropology and Law,"London School of Economics and Political Science, University of London",2024,"Law, Anthropology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Houghton Street, None, London, WC2A 2AE, Unknown"
Chemical Engineering with Environmental Engineering including an Industrial Year,University of Nottingham,2024,"Chemical engineering, Environmental engineering",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University Park Campus, University Park, None, Nottingham, NG7 2RD, Unknown"
Mechatronic Engineering with Industrial Studies,University of Southampton,2024,"Mechanical engineering, Electromechanical engineering, Electronic engineering, Mechatronics",Full-time,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site - Highfield Campus, Highfield, None, Southampton, SO17 1BJ, Unknown"
Art and Design (Graphic Design) (Tattoo),"South Thames College Group (inc Carshalton, South Thames and Kingston College)",2024,"Arts, Visual arts, Creative arts, Design, Graphic design, Fashion design, Fashion, Calligraphy, Art, European art, Italian art, Fine art, Modern art, Drawing, Life drawing, Graphic arts, Illustration, Concept art",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Kingston College, Kingston Hall Road, None, Kingston upon Thames, KT2 5AQ, Unknown"
Engineering,Lancaster University,2024,"Mechatronics, Engineering, Mechanical engineering, Electronic engineering",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Admissions, , Lancaster, LA1 4YW, Unknown"
Neuroscience,University of Sussex,2024,"Neurobiology, Biology, Cell biology, Psychology, Cognition, Molecular biology, Human physiology, Pharmacology, Genetics, Clinical psychology, Behavioural psychology, Developmental biology",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Sussex House, Falmer, Brighton, BN1 9RH, Unknown"
Sociology,Lancaster University,2024,Sociology,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Admissions, , Lancaster, LA1 4YW, Unknown"
International Business,University of Aberdeen,2024,"Management, International business studies, Business and management",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University Office, King's College, Aberdeen, AB24 3FX, Unknown"
Bachelor of Science Global Political Science: Trade,European School of Economics,2024,"Social sciences, Business and management, European politics, Project management, Trade, Trade Law, Commerce",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","ESE London, 11-13 Mandeville Place, , London, W1U 3AJ, Unknown"
Anthropology and Archaeology,University of Aberdeen,2024,"Anthropology, Archaeology, Anthropological archaeology, Social sciences",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University Office, King's College, Aberdeen, AB24 3FX, Unknown"
Psychology,Edge Hill University,2024,"Psychology, Applied psychology, Social psychology, Developmental psychology, Forensic psychology, Behavioural psychology, Child psychology, Educational psychology, Environmental psychology, Experimental psychology, Human psychology, Social sciences, Clinical psychology, Special needs, Occupational psychology, Sports psychology, Human sciences",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Ormskirk (Main Campus), St Helens Road, None, Ormskirk, L39 4QP, Unknown"
Criminology,Cardiff University,2024,Criminology,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site - Cardiff, 30-36 Newport Road, None, Cardiff, CF24 0DE, Unknown"
Marketing,Blackburn College,2024,"Marketing, Consumer studies, Customer relations, Market research",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Feilden Street, None, Blackburn, BB2 1LH, Unknown"
Environmental Management with Professional Studies,Queen's University Belfast,2024,Environmental management,Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University Road, None, Belfast, BT7 1NN, Unknown"
Public Health with Foundation Year,Middlesex University,2024,Public health,Full-time including foundation year,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Hendon Campus, The Burroughs, , London, NW4 4BT, Unknown"
Creative Writing,Bath Spa University,2024,"Creative writing, Screenwriting, Scriptwriting, English literature, Journalism",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Newton Park, None, Bath, BA2 9BN, Unknown"
Pharmacy with Integrated Pre-registration Training,UCL (University College London),2024,Pharmacy,Full-time,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Admissions, , London, WC1E 6BT, Unknown"
Chemical Engineering,University of Bradford,2024,"Chemical engineering, Cleaning science, Energy, Engineering, Petroleum engineering, Waste engineering",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Richmond Road, None, Bradford, BD7 1DP, Unknown"
Architecture,University of Sheffield,2024,Architecture,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Western Bank, , Sheffield, S10 2TN, Unknown"
Ceramic Design,University of the Arts London,2024,"Arts, Sculpture, Modern art, Visual arts, Creative arts, Three dimensional design, Decorative art, Ceramics, Product design, Ceramic technology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Central Saint Martins, 1 Granary Square, None, London, N1C 4AA, Unknown"
Physics with Renewable Energy Science,University of Dundee,2024,"Physics, Renewable energy",Full-time,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Nethergate, None, Dundee, DD1 4HN, Unknown"
Engineering,Bangor University,2024,"Engineering and production, Engineering, Engineering systems, Engineering technology, Materials science, Mechanical engineering",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Bangor University, None, Bangor, Gwynedd, LL57 2DG, Unknown"
Fine Art,University of Southampton,2024,"Fine art, Art, Modern art, Visual arts, Arts, Arts and crafts, Creative arts",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Winchester School of Art, Park Avenue, None, Winchester, SO23 8DL, Unknown"
Electronic Engineering with Industrial Studies,University of Southampton,2024,"Electronic engineering, Electronics, Power electronics",Full-time,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site - Highfield Campus, Highfield, None, Southampton, SO17 1BJ, Unknown"
Engineering,University of Birmingham,2024,Engineering,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Academic and Student Division, None, Birmingham, B15 2TT, Unknown"
Data Science,University of Bristol,2024,"Mathematics, Data analysis",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Beacon House, , Bristol, BS8 1QU, Unknown"
Business and Supply Chain Management,"Aston University, Birmingham",2024,"Business administration, Management, Logistics, Supply chain management, Organisational behaviour, Business economics, Purchasing, Air transport management, Trade Law",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Aston Triangle, None, Birmingham, B4 7ET, Unknown"
Mechanical Engineering (with an industrial placement year),University of Sussex,2024,"Mechanical engineering, Engineering, Electromechanical engineering, Mathematical engineering, Industrial design engineering, Computer aided design, Control engineering, Engineering systems, Fluid engineering, Motor vehicle engineering, Engineering technology",Sandwich,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Sussex House, Falmer, Brighton, BN1 9RH, Unknown"
Earth and Environmental Science (with Foundation Year),University of Hull,2024,"Earth sciences, Environmental science, Science, Environmental studies, Environmental sustainability",Full-time including foundation year,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","The University of Hull, Cottingham Road, None, Hull, HU6 7RX, Unknown"
Chemistry,Imperial College London,2024,"Chemistry, Applied chemistry, Industrial chemistry, Theoretical chemistry",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Imperial College, , London, SW7 2AZ, Unknown"
Biotechnology,Edge Hill University,2024,"Biotechnology, Science, Biology, Genetics, Microbiology, Laboratory science, Evolutionary biology, Ecology, Human biology, Molecular genetics, Biochemistry, Nutrition, Marine biology, Botany, Bioinformatics, Tissue biology",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Ormskirk (Main Campus), St Helens Road, None, Ormskirk, L39 4QP, Unknown"
Media and Communications,Keele University,2024,"Communication studies, Film production, Video production, Television studies, Journalism, Media management, Broadcasting, Photography, Media studies, Film studies, Filmmaking, Digital Media, Media production",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Keele University, None, Keele, ST5 5BG, Unknown"
Wildlife Conservation with Foundation Year,Liverpool John Moores University,2024,"Wildlife management, Environmental conservation, Ecology, Foundation science, Environment, Marine Conservation, Climate studies, Climate Change",Sandwich,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Liverpool John Moores University, Student Recruitment and Admissions, Tithebarn Street, Liverpool, L2 2QP, Unknown"
"Fitness, Nutrition and Health",Abertay University,2024,"Exercise and fitness, Nutrition, Health studies, Health science, Exercise science, Physiology, Biomechanics, Science",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Abertay Campus, Bell Street, None, Dundee, DD1 1HG, Unknown"
Media and Cultural Studies,Lancaster University,2024,"Cultural studies, Media studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Admissions, , Lancaster, LA1 4YW, Unknown"
Marine Biology with Professional Placement,University of Exeter,2024,"Marine biology, Ecology, Biological sciences, Environmental conservation, Oceanography, Zoology",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","University of Exeter - Penryn Campus, Cornwall, Penryn Campus, , Cornwall, TR10 9FE, Unknown"
Marine Biology with Oceanography,Cornwall College,2024,"Environment, Marine biology, Marine Conservation, Marine science, Oceanography",Full-time,"{'quantity': 1, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Newquay University Centre Cornwall College, Wildflower Lane, , Newquay, TR7 2LZ, Unknown"
International Relations,University of Surrey,2024,"International relations, Politics, Government, Ideology, Public policy",Sandwich,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Stag Hill, Stag Hill, None, Guildford, GU2 7XH, Unknown"
Civil Engineering,Imperial College London,2024,"Civil engineering, Engineering, Mechanics, Energy, Mathematics",Full-time,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Imperial College, , London, SW7 2AZ, Unknown"
Adult Nursing,Birmingham Newman University,2024,"Nursing (adult), Nursing, Public health, Health care, Health studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Birmingham Newman University, Genners Lane, , Birmingham, B32 3NT, Unknown"
Music,NPTC Group,2024,Music,Full-time,"{'quantity': 2, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Neath College, Dwr-y-Felin Road, , Neath, SA10 7RF, Unknown"
Software Engineering,New College Swindon University Centre,2024,"Software engineering, Software, Object oriented programming, Information systems, Management information systems, Computer information systems, Computer programming",Full-time,"{'quantity': 2, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Swindon and Wiltshire Institute of Technology, North Star Avenue, None, Swindon, SN2 1DY, Unknown"
Mathematics with Education,Aberystwyth University,2024,"Applied mathematics, Pure mathematics, Applied statistics, Adult education, Child development, Mathematics (secondary teaching), Educational studies, Educational management, Educational administration, Educational planning, Algebra, Nursery schools (primary teaching), Early childhood studies, Calculus, Mathematics",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site (Aberystwyth), Penglais Campus, , Aberystwyth, SY23 3DD, Unknown"
Biochemistry,University of Lincoln,2024,Biochemistry,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Lincoln (Main Site), Brayford Pool, , Lincoln, LN6 7TS, Unknown"
Film Studies,University of Southampton,2024,"Film studies, Media studies",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site - Highfield Campus, Highfield, None, Southampton, SO17 1BJ, Unknown"
Equine Health and Nutrition,University Centre Bishop Burton,2024,"Equine studies, Animal nutrition, Animal health, Nutrition, Science",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Riseholme, Riseholme College, Horncastle Lane, North Carlton, LN1 2ZR, Unknown"
Property Development,University of Portsmouth,2024,"Property management, Property, Property law, Estate management, Surveying, Building surveying, Urban regeneration, Planning, Town planning, Land management, Built environment, Estate agency, Retailing",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, University House, , Portsmouth, PO1 2UP, Unknown"
History,Durham University,2024,"History, Social history, European history, Cultural history, British history",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Durham City, Palatine Centre, , Durham, DH1 3HP, Unknown"
Applied Data Science,Harper Adams University,2024,"Analytical science, Artificial intelligence, Computer information systems, Computer languages, Computer systems engineering, Data analysis, Technology",Full-time,"{'quantity': 2, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Harper Adams University - Station Quarter, Station Quarter, None, Telford, TF3 4DU, Unknown"
Earth Sciences and Physical Geography,The University of Edinburgh,2024,"Geology, Physical geography, Earth sciences",Full-time,"{'quantity': 5, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Central area campus, George Square, None, Edinburgh, EH8 9JZ, Unknown"
Art and Design,Birmingham City University,2024,"Art, Design, Visual arts, Community arts, Creative arts, Three dimensional design, Display design, Exhibition design, Metal design, Plastics design, Wood design, Design management, Design theory, Editorial design, Graphic design, Interior design, Media design, Spatial design",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Margaret Street, Margaret Street, None, Birmingham, B3 3BX, Unknown"
Graphic Design,De Montfort University,2024,Graphic design,Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Leicester Campus, The Gateway, , Leicester, LE1 9BH, Unknown"
Business Law and Management (with Foundation Year),Cardiff Metropolitan University,2024,"Administration, Arbitration, Barrister practice, Business administration, Business and management, Business innovation, Business law, Business statistics, Business studies, Financial services, Legal administration, Legal executive studies, Legal practice, Legal studies, Management, Private law, Process management, Public administration, Secretarial studies",Full-time including foundation year,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Cardiff Met - Llandaff, Cardiff Metropolitan University, , Cardiff, CF5 2YB, Unknown"
Music,University of Bristol,2024,"Music, Creative arts, Music theory, Music performance",Full-time,"{'quantity': 3, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, Beacon House, , Bristol, BS8 1QU, Unknown"
Data Science and Analytics,"University of Westminster, London",2024,"Data analysis, Computer science, Computer programming",Full-time with year in industry,"{'quantity': 4, 'durationType': {'id': '4', 'mappedCaption': None, 'caption': 'Years'}}","Main Site, 115 New Cavendish Street, None, London, W1W 6UW, Unknown"
